business_name,address,mall_center,city,state,zip,mall
GOLD MINE,100  TECHWOOD DR. NW,OMNI INTERNATIONAL MALL,ATLANTA,GA,30303-1814,True
GAMES THAT GO BUMP,3166  MAPLE DR. NE,,ATLANTA,GA,30305-,False
VIDEO GAME ROOM,309  RICHARDSON ST. SW,,ATLANTA,GA,30312-,False
VARIETY DISTRIBUTING & AMUSEMENT,585  GRANT ST. SE,,ATLANTA,GA,30312-3148,False
WESTSIDE MUSIC,305  PETERS ST. SW,,ATLANTA,GA,30313-1113,False
DIXIELAND MUSIC & GAMES,394  SAWTELL AVE. SE,,ATLANTA,GA,30315-,False
GAME ROOM,1326  MORELAND AVE. SE,MORELAND CENTER,ATLANTA,GA,30316-3207,True
TOTAL VENDING SERVICES,506  NORTH AVE. NW,,ATLANTA,GA,30318-,False
SPARE CHANGE AMUSEMENT,2164  MARIETTA BL. NW,,ATLANTA,GA,30318-2122,False
STAR GAMES & MUSIC,1039  HUFF RD. NW,,ATLANTA,GA,30318-4155,False
PARKS AMUSEMENT,589  BISHOP ST. NW,,ATLANTA,GA,30318-4305,True
TIME-OUT,3393  PEACHTREE RD. NE,LENOX SQUARE MALL,ATLANTA,GA,30326-1109,True
GOLD MINE,2841  GREENBRIAR PKWY. SW,GREENBRIAR MALL,ATLANTA,GA,30331-2602,True
BARREL OF FUN - CORPORATE OFFICE,2460  GALLERIA PKWY. SE,2001 FUN FOOD & COMPUTER LEARNING,ATLANTA,GA,30339-3128,False
PUTT-PUTT GOLF,3382  SHALLOWFORD RD. NE,,CHAMBLEE,GA,30341-3513,False
AMERICAN VENDING,2599  CHURCH ST.,,EAST POINT,GA,30344-3099,False
GOLD MINE,4800  BRIARCLIFF RD. NE,NORTHLAKE MALL,ATLANTA,GA,30345-2708,True
TILT,4400  ASHFORD-DUNWOODY RD. NE,PERIMETER MALL,ATLANTA,GA,30346-1513,True
TRIANGLE ENTERPRISES,4520  THOMPSON RD.,,COLLEGE PARK,GA,30349-,False
ECONO BILLIARD SUPPLIES,2897  WATERS RD. SW,,ATLANTA,GA,30354-2053,False
DEAN'S GAME ROOM,,HWY. 56 W.,REIDSVILLE,GA,30453-,False
GAME CENTER,"102  BROAD E. (LYONS), P O BOX 794",,REIDSVILLE,GA,30453-,True
TAKE TEN,,STATESBORO MALL,STATESBORO,GA,30458-,True
SOUTHEASTERN COINS,120  NOTTINGHAM TRAIL,,STATESBORO,GA,30458-,False
TASTEE-FREEZ,1006  MAIN ST. S.,,SYLVANIA,GA,30467-2238,False
FAMILY GAME ROOM,700  NORTH ST. W.,,VIDALIA,GA,30474,False
CHEEK'S TUNE-UP & GAME ROOM,1206  PATTERSON DR. SE,,GAINESVILLE,GA,30501-,False
DAIRY QUEEN,,SHALLOWFORD RD.,GAINESVILLE,GA,30501-,False
JACK BURCH MUSIC & GAMES,1713  ATLANTA RD. # A,,GAINESVILLE,GA,30501-6327,False
TOM'S AMUSEMENT,P O BOX 56,,BLUE RIDGE,GA,30513,False
JONES VENDING,P O BOX 35,1st E.,BLUE RIDGE,GA,30513-,False
LANIER VENDING,,PUBLIC SQUARE,DAWSONVILLE,GA,30534-,True
J R's AMUSEMENT & VENDING,P O BOX 353,,DILLARD,GA,30537-,False
ALEXANDER AMUSEMENT,P O BOX 1250,LYNWOOD DR.,TOCCOA,GA,30577-,False
IDEAL AMUSEMENT,815  BROAD ST. W.,,ATHENS,GA,30601-2511,False
PUTT-PUTT GOLF & GAMES,1743  LEXINGTON RD.,,ATHENS,GA,30605-2329,False
TIME-OUT,3700  ATLANTA HWY. W.,GEORGIA SQUARE MALL,ATHENS,GA,30606-3155,True
HERITAGE AMUSEMENT,3155  ATLANTA HWY.,,ATHENS,GA,30606-3332,False
VIDEO-RAMA,2361  BROAD ST. W.,WESTSIDE PLAZA,ATHENS,GA,30606-3421,True
CHAMBERS AMUSEMENT,2045  BROAD ST. W.,,ATHENS,GA,30606-3594,False
C & O VENDING & AMUSEMENT,2580  COMMERCE RD.,,ATHENS,GA,30607-1034,False
L EDWARDS AMUSEMENT,204  COLLEGE AVE.,,ELBERTON,GA,30635-,False
CALHOUN AMUSEMENT,511  COURT ST.,,CALHOUN,GA,30701-,False
TAKE FIVE FUN & GAMES,4105  DIXIE HWY. S.,,DALTON,GA,30720,False
FUNWAY U S A,,BRYMANS PLAZA # 112-A,DALTON,GA,30720-8265,True
SOUTHERN-HYCO AMUSEMENT,710  HAMILTON ST. N.,,DALTON,GA,30720-8815,False
TIME-OUT,2150  WALNUT AVE. E.,WALNUT SQUARE MALL,DALTON,GA,30720-9160,True
A B C VENDING,,HAGGARD RD.,RINGGOLD,GA,30736-9806,False
EVANS DISTRIBUTING,,HICKORY DR.,EVANS,GA,30809-,False
KEITH AMUSEMENT SERVICE,P O BOX 452,WRIGHTSBORO RD.,THOMSON,GA,30824-,False
TOMMY'S MUSIC SERVICE,137  JOURNAL ST.,,THOMSON,GA,30824-,False
AMERICAN AMUSEMENT,937  GREENE ST.,,AUGUSTA,GA,30901-,False
FUN FACTORY,2417  REGENCY BL.,,AUGUSTA,GA,30904,False
A & M AMUSEMENT & VENDING,1924  BATTLE ROW,,AUGUSTA,GA,30904-,False
AUGUSTA MUSIC SERVICE,2206  MILLEDGEVILLE RD.,,AUGUSTA,GA,30904-4926,False
FUN-N-GAMES,1700  GORDON HWY.,REGENCY MALL,AUGUSTA,GA,30904-5157,True
PUTT-PUTT GOLF & GAMES,1831  GORDON HWY.,,AUGUSTA,GA,30904-5636,False
NORMAN'S ELECTRIC GALAXY,2603  WASHINGTON RD.,,AUGUSTA,GA,30904-5901,False
SOUTHSIDE FAMILY FUN CENTER,2454  WINDSOR SPRINGS RD.,,AUGUSTA,GA,30906-,True
HARVEY YARMON VIDEO SERVICE,472  FLOWING WELLS RD.,,MARTINEZ,GA,30907,False
PUTT-PUTT GOLF & GAMES,3763  MARTINEZ BL.,,MARTINEZ,GA,30907-,False
WEREGAMERS,525  SANDY ST.,,MARTINEZ,GA,30907-2147,False
GOLD MINE,3450  WRIGHTSBORO RD.,AUGUSTA MALL # 1046,AUGUSTA,GA,30909-2599,True
ACTION GAMES,,DEEP CREEK RD. (ARABI),CORDELE,GA,31015-,False
PIZZA INN,,MALL RD.(HWY. 80),DUBLIN,GA,31021-,True
SHAMROCK MINIATURE GOLF,304  CLOVERDALE DR.,,DUBLIN,GA,31021-,False
GRAY MUSIC,"239  CLINTON ST., P O BOX 575",,GRAY,GA,31044-,False
TAKE TEN,,HATCHER SQUARE MALL,MILLIDGEVILLE,GA,31061-,True
HOLLEY MUSIC,,HOUSTON LAKE RD.,PERRY,GA,31069-,False
GILLEY'S AMUSEMENT,119  HARRIS ST. S.,,SANDERSVILLE,GA,31082-1508,False
DUBLIN AMUSEMENT,100  PLEASANT HILL RD.,,WARNER ROBINS,GA,31093-,False
BARREL OF FUN,233  HOUSTON RD. N.,HOUSTON MALL,WARNER ROBINS,GA,31093-3003,True
HOLLEY MUSIC,933  McARTHUR BL.,,WARNER ROBINS,GA,31093-3227,False
MARTIN AMUSEMENT,1395  GEORGIA AVE.,,MACON,GA,31201-6595,False
JULIAN MARTIN MUSIC,151  STATE ST.,,MACON,GA,31206-1067,False
STAR AMUSEMENT,156  STATE ST.,,MACON,GA,31206-1068,False
ALADDIN'S CASTLE,3661  EISENHOWER PKWY.,MACON MALL # 266,MACON,GA,31206-3649,True
PRO AMUSEMENT,1031  CONFEDERATE DR. S.,,MACON,GA,31210,False
PUTT-PUTT GOLF,3960  NORTHSIDE DR.,,MACON,GA,31210-,False
C O D MARKETING,P O BOX 729,,RICHMOND HILL,GA,31324-,False
EMPIRE AMUSEMENTS,2201  PRICE ST.,,SAVANNAH,GA,31401-9051,False
ACE AMUSEMENT,2715  SKIDAWAY RD.,GALAXY,SAVANNAH,GA,31404-4409,False
AMUSEMENT SERVICE,5500  WHITE BLUFF RD.,,SAVANNAH,GA,31405-6908,False
STARCASTLE,8303  WHITE BLUFF RD.,,SAVANNAH,GA,31406-3408,False
GOLD MINE,7804  ABERCORN ST.,OGLETHORPE MALL,SAVANNAH,GA,31406-3501,True
PUTT-PUTT GOLF,202  MALL BL.,,SAVANNAH,GA,31406-4723,False
AMUSEMENT PROS,359  MAIN ST. S.,,GARDEN CITY,GA,31407-,False
ELECTRO CIGARETTE SALES,17  VINEYARD DR.,,SAVANNAH,GA,31419-1135,False
YESTERDAY'S,,HATCHER POINT MALL,WAYCROSS,GA,31501,True
MEADOWS VENDING & AMUSEMENT,1012  GOBBLERS LN.,,WAYCROSS,GA,31501-,False
ROGERS MUSIC,608  FRANCIS ST.,,WAYCROSS,GA,31501-2330,False
GAME COUNTRY,106  COMAS ST.,,BAXLEY,GA,31513-,False
TAYLOR AMUSEMENT,2716  SPRINGDALE RD.,,BRUNSWICK,GA,31520,False
BARREL OF FUN,100  MALL DR.,GLYNN PLACE MALL,BRUNSWICK,GA,31520-,True
KENNEDY'S ARCO AMUSEMENT,3904  NORWICH ST.,,BRUNSWICK,GA,31520-2515,False
LENZ AMUSEMENT,110  NORTHWOOD DR.,,BRUNSWICK,GA,31520-8317,False
DOUGLAS MUSIC,1408  MADISON AVE. N.,,DOUGLAS,GA,31533-2312,False
J & H AMUSEMENT,1409  PARKER MATHIS DR.,,VALDOSTA,GA,31601-,False
PUTT-PUTT GOLF & GAMES,1704  GORNTO RD.,,VALDOSTA,GA,31601-3579,False
SPEED'S GAME ROOM,832  GORDON ST. W.,,VALDOSTA,GA,31601-3737,False
FUN FACTORY,1700  NORMAN DR.,VALDOSTA MALL # 1018,VALDOSTA,GA,31601-7401,True
VAGA AMUSEMENT,248  PERIMETER RD.,,VALDOSTA,GA,31602-,False
V C O M AMUSEMENT,401  BARFIELD DR.,,VALDOSTA,GA,31602-1470,False
BRUCE VENDING & AMUSEMENT,,ADEL HWY.,NASHVILLE,GA,31639-,False
ALBANY AMUSEMENT,138  BOOKER AVE.,,ALBANY,GA,31701-,False
PUTT-PUTT GOLF & GAMES,2608  SLAPPEY BL. N.,,ALBANY,GA,31701-1014,False
BARLOW AMUSEMENT & MUSIC,1401  BROAD AVE. E.,,ALBANY,GA,31705-2207,False
GEORGIA AMUSEMENT,225  BROAD AVE. E.,,ALBANY,GA,31705-2858,False
HARDEN'S BARNYARD MINI GOLF & GAME ROOM,,THOMAS DR.,AMERICUS,GA,31709,False
FRANK CANNON MUSIC,713  FELDER ST.,,AMERICUS,GA,31709-4234,False
CENTRAL MUSIC,305  PINE ST. E.,,FITZGERALD,GA,31750-2910,False
FUN FACTORY,,TIFT TOWN SHOPPING CENTER,TIFTON,GA,31794-,True
CANNON MUSIC,P O BOX 199,HWY. 93 (CAIRO),THOMASVILLE,GA,31799-0199,False
GEORGIA MUSIC,601  2nd AVE.,,COLUMBUS,GA,31901-2905,False
BEST AMUSEMENT,3035  VICTORY DR.,,COLUMBUS,GA,31903-1827,False
SSUGG & POPEYE GAME CENTER,1404  FORT BENNING RD.,,COLUMBUS,GA,31903-2104,True
DIAMOND JIM'S,3111  MANCHESTER EXPWY.,PEACHTREE MALL,COLUMBUS,GA,31904-,True
WHIPPLE MUSIC & CIGARETTE,1708  WARM SPRINGS RD.,,COLUMBUS,GA,31904-8027,False
TED'S MUSIC,3218  HAMILTON RD.,,COLUMBUS,GA,31904-8213,False
KNIGHT KASTLE,2517  AIRPORT THRUWAY,,COLUMBUS,GA,31904-9010,False
THWEATT FURNITURE,"707  BROWN AVE., P O BOX 5241",,COLUMBUS,GA,31906-,False
PUTT-PUTT GOLF & GAMES,3316  MACON RD.,,COLUMBUS,GA,31906-2305,False
COLUMBUS MUSIC,"2816  10th AVE., P O BOX 12313",,COLUMBUS,GA,31907-,False
ALADDIN'S CASTLE,3227  MANCHESTER EXPWY.,PEACHTREE MALL,COLUMBUS,GA,31909-5365,True
FUN-N-GAMES,1700  VOLUSIA AVE.,VOLUSIA MALL,DAYTONA BEACH,FL,32014-1304,True
FUNTIME U S A,236  NOVA RD. N.,DAYTONA MALL,DAYTONA BEACH,FL,32014-3420,True
A - A A A A VENDING,"1299  STATE AVE., BLDG. I",,HOLLY HILL,FL,32017-,False
B & B VENDING,420  6th ST.,,HOLLY HILL,FL,32017-,False
BAY VENDING,"617  COMMERCIAL DR. # B, P O BOX 1100",,HOLLY HILL,FL,32017-1100,False
ALL BRANDS VENDING,219  CARSWELL AVE.,,HOLLY HILL,FL,32017-4917,False
SMITTY'S SPACE STATION,3218  ATLANTA AVE. S.,,DAYTONA BEACH SHORES,FL,32018-,True
WALKING CHARLIE'S,"6  OCEAN AVE. N., P O BOX 3087",,DAYTONA BEACH,FL,32018-0087,True
PIT STOP ARCADE,"1114  MAIN ST., P O BOX 3504",,DAYTONA BEACH,FL,32018-0504,True
JOYLAND,"49  OCEAN AVE. N., P O BOX 5796",,DAYTONA BEACH,FL,32018-2796,False
MARDI GRAS FUN CENTER,12  OCEAN AVE. N.,,DAYTONA BEACH,FL,32018-4233,True
SOUTHEASTERN AMUSEMENT,819  ACORN LN.,,PORT ORANGE,FL,32019,False
BEYER & BROWN,635  BEVILLE RD.,,SOUTH DAYTONA,FL,32019-1935,True
COUNTRY MARKET,2250  RIDGEWOOD AVE. S.,,SOUTH DAYTONA,FL,32019-3018,False
SHACK'S RACK,2800  MARION ST. S.,,LAKE CITY,FL,32055-,False
SUWANNEE AMUSEMENT,,HWY. 247,LAKE CITY,FL,32055-,False
MERTON NIEWISCH,P O BOX 591,LIVE OAK HWY.,LAKE CITY,FL,32055-,False
GOLD MINE,,GLEASON'S CORNER MALL,LAKE CITY,FL,32055-9081,True
GO-KART CITY,"4114  NOVA RD. S. (PORT ORANGE), P O BOX 942",,NEW SMYRNA BEACH,FL,32069-,False
PERRY'S ENTERPRISE,P O BOX 578,,NEW SMYRNA BEACH,FL,32070-0578,False
WARD CO.,17  SUNSHINE BL.,,ORMOND BEACH,FL,32074,False
GRANDE GAMES,"11  WASHINGTON S., P O BOX 515",,ORMOND BEACH,FL,32074-0515,False
R & R SATELLITE VIDEO GAME ROOM,2312  CRILL AVE.,,PALATKA,FL,32077,False
GATOR CADE,400  HWY. 19 N.,PALATKA MALL,PALATKA,FL,32077-,True
OLD FAVORITES RECORD SHOP,182  SAN MARCO AVE.,,ST. AUGUSTINE,FL,32084-,False
R L PARKS & SON,"18  ST. GEORGE ST., P O BOX 187",,ST. AUGUSTINE,FL,32085-0187,True
W & W COIN MACHINE,121  DIXIE HWY. S.,,ST. AUGUSTINE,FL,32086-5212,False
READY AMUSEMENT & VEND,2650  ROSSELLE ST.,,JACKSONVILLE,FL,32204,False
ATLAS MUSIC & GAMES,727  FOREST ST.,,JACKSONVILLE,FL,32204-2910,False
SUN AMUSEMENT VENDING,4853  PARK ST.,,JACKSONVILLE,FL,32205,False
ANCHOR AMUSEMENTS,4820  RAYFORD ST.,,JACKSONVILLE,FL,32205-3742,False
GATOR COIN MACHINE,576  WOODRUFF AVE.,,JACKSONVILLE,FL,32205-3756,False
ALADDIN'S CASTLE,5123  NORMANDY BL.,NORMANDY MALL,JACKSONVILLE,FL,32205-4825,True
McCOMBS MUSIC,1551  MAIN ST. N.,,JACKSONVILLE,FL,32206,False
A B C AMUSEMENT,3917  MAIN ST. N.,,JACKSONVILLE,FL,32206-1423,False
DEWEY CONFECTIONARY,1308  26th ST. E.,,JACKSONVILLE,FL,32206-2450,False
CITY AMUSEMENT,4000  PEARL ST. N.,,JACKSONVILLE,FL,32206-6408,False
ADVANCED MUSIC,4006  PEARL ST. N.,,JACKSONVILLE,FL,32206-6408,False
VENTURE VENDING,1701  HENDRICKS AVE.,,JACKSONVILLE,FL,32207-,False
VIDEO ELECTRONICS,4537  EMERSON ST.,,JACKSONVILLE,FL,32207-4918,False
JAX PHONOGRAPH,1437  SAN MARCO BL.,,JACKSONVILLE,FL,32207-8535,False
MONTGOMERY'S ICE CREAM & SANDWICH,2807  45th ST. W. # 1,,JACKSONVILLE,FL,32209-2824,False
RUSSELL'S VENDING SERVICE,4327  ANVERS BL.,,JACKSONVILLE,FL,32210-7034,False
PUTT-PUTT GOLF & GAMES,4825  BLANDING BL.,,JACKSONVILLE,FL,32210-7328,False
M D AMUSEMENT,7530  ALTON AVE.,,JACKSONVILLE,FL,32211,False
SHOWBIZ PIZZA PLACE,9820  ATLANTIC BL.,,JACKSONVILLE,FL,32211-,True
COLEMAN MUSIC,245  BOWLAN ST. N.,,JACKSONVILLE,FL,32211-7913,False
ALADDIN'S CASTLE,9501  ARLINGTON EXPRY.,REGENCY SQUARE # 48-49,JACKSONVILLE,FL,32211-8243,True
PUTT-PUTT GOLF & GAMES,8200  BEACH BL.,,JACKSONVILLE,FL,32216-3137,False
SOUTHEAST LEISURE SERVICES,5919  RICHARD ST.,,JACKSONVILLE,FL,32216-5926,False
NORTHWESTERN SALES,6593  POWERS AVE. # 12,,JACKSONVILLE,FL,32217-2823,False
FRAN & DEE'S GAME ROOM,745  EASTPORT RD.,,JACKSONVILLE,FL,32218-,False
PLAYLAND,7619  PLUMWOOD DR.,,JACKSONVILLE,FL,32224-,False
HOBBY OASIS,540  ATLANTIC BL.,,NEPTUNE BEACH,FL,32233-4024,False
ALL BRANDS VENDING,"4526  LENOX AVE., P O BOX 37329",,JACKSONVILLE,FL,32236-7329,False
SHOWBIZ PIZZA PLACE,6065  YOUNGERMAN CIR.,,JACKSONVILLE,FL,32244-,True
SIR GOONY GOLF,6655  BLANDING BL.,,JACKSONVILLE,FL,32244-3713,False
GOLD MINE,1500  APALACHEE PKWY.,GOVERNORS SQUARE MALL,TALLAHASSEE,FL,32301-3006,True
SOUTHWINDS,2415  MONROE ST. N.,TALLATASSEE MALL,TALLAHASSEE,FL,32303-,True
BARREL OF FUN,2415  MONROE ST. N.,TALLAHASSEE MALL,TALLAHASSEE,FL,32303-,True
PUTT-PUTT GOLF,2415  MONROE ST. N.,TALLAHASSEE MALL,TALLAHASSEE,FL,32303-4112,True
XANADU GAMES,1001  THOMASVILLE RD.,,TALLAHASSEE,FL,32303-6221,False
ALL BRANDS VENDING,"130  FOUR POINTS WY., P O BOX 5986",,TALLAHASSEE,FL,32313-5986,False
LOUQUE VENDING,"118  MAIN W., P O BOX 111",,PERRY,FL,32347-0111,False
J & H MUSIC,405  JEFFERSON ST. E.,,QUINCY,FL,32351,False
CULLEN VIDEO,1134  HARRISON AVE.,,PANAMA CITY,FL,32401,False
SHOWBIZ PIZZA PLACE,4432  HWY. 98 W.,,PANAMA CITY,FL,32401-,True
SOLLIE'S MUSIC,3302  16th ST. W.,,PANAMA CITY,FL,32401-,False
L & L LAUNDRY & CLEANERS,5024  HWY. 98 W.,,PANAMA CITY,FL,32401-1037,False
S & M VENDING,1300  CALHOUN AVE.,,PANAMA CITY,FL,32401-1542,False
FUN-LAND,"P O BOX ""A""",14510  HWY. 98-A W.,PANAMA CITY BEACH,FL,32403-0001,False
GULF MUSIC,"602  TYNDALL PKWY. S., P O BOX 10741",,PARKER,FL,32404-,False
SMITH MUSIC & VENDING MACHINE,6118  BOATRACE RD. (CALLAWAY),,PANAMA CITY,FL,32404-9612,False
ALADDIN'S CASTLE,2208  COVE BL. N.,PANAMA CITY MALL,PANAMA CITY,FL,32405-5321,True
DOWNINGS BILLARD SUPPLY,8508  LORENTO ST.,,PANAMA CITY BEACH,FL,32407,False
PANAMA SPEEDWAY,"9941  THOMAS DR., P O BOX 9816",,PANAMA CITY BEACH,FL,32407,False
EMERALD FALLS RACEWAY & FANTASY GOLF,8602  THOMAS DR.,,PANAMA CITY BEACH,FL,32407-,False
SEA HORSE,P O BOX 7415,19320  HWY. 98-A W.,LAGUNA BEACH,FL,32407-,False
GATOR RACE TRACK,,10333  HWY. 98-A W.,PANAMA CITY BEACH,FL,32407-,False
PANAMA ARCADE,,23223  HWY. 98-A W.,PANAMA CITY BEACH,FL,32407-,True
BLACK HOLE WATER SLIDE,,12526  HWY. 98-A W.,PANAMA CITY BEACH,FL,32407-3327,False
FUN CITY,,13624  HWY. 98-A W.,PANAMA CITY BEACH,FL,32407-3503,False
FUN WORLD,,11840  HWY. 98-A W.,PANAMA CITY BEACH,FL,32407-3602,False
TOMMY T's,P O BOX 13394,HWY. 98,MEXICO BEACH,FL,32410-3394,False
BOB'S GAME ROOM,,HWY. 331 S.,FREEPORT,FL,32439-,False
CARLTON MUSIC,307  DAVIS E.,,MARIANNA,FL,32446-,False
WHITE & SONS AMUSEMENT,"734  ORANGE ST., P O BOX 547",,MARIANNA,FL,32446-,False
C & G MUSIC,"117  MARKET ST., P O BOX 477",,MARIANNA,FL,32446-,False
ED'S AMUSEMENT,"411  SOUTH, P O BOX 152",,MARIANNA,FL,32446-0152,False
AMUSEMENT ARCADE,194  PALAFOX ST. N.,,PENSACOLA,FL,32501-4839,True
PENSACOLA AUTOMATIC MUSIC,270  PACE BL. S.,,PENSACOLA,FL,32501-5006,False
ADVANCED AMUSEMENT,6215  9th AVE. N.,,PENSACOLA,FL,32504-,False
SHOWBIZ PIZZA PLACE,7350  PLANTATION RD.,,PENSACOLA,FL,32504-,True
SPACE PORT,7171  DAVIS HWY. N.,UNIVERSITY MALL,PENSACOLA,FL,32504-6337,True
JOLLY TIME,,CORDOVA MALL,PENSACOLA,FL,32504-8735,True
EXPERT INVESTMENTS & AMUSEMENT,610  CITRUS ST.,,PENSACOLA,FL,32505-,False
FIESTA MUSIC,"3101  ""R"" ST. N.",,PENSACOLA,FL,32505-,False
C & M AMUSEMENT,608  CITRUS ST.,,PENSACOLA,FL,32505-7213,False
GOLDEN CROWN,4481  MOBILE HWY.,,PENSACOLA,FL,32506-4209,True
PUTT-PUTT GOLF,1051  NAVY BL. N.,,PENSACOLA,FL,32507-1248,False
GOOFY GOLF,3920  NAVY BL. W.,,PENSACOLA,FL,32507-1259,False
WATSON AMUSEMENT,3640  BARRANCAS AVE.,,PENSACOLA,FL,32507-3402,False
COASTAL AMUSEMENTS,655  BEAL PKWY. N.,,FORT WALTON BEACH,FL,32548,False
GOOFY GOLF,401  EGLIN PKWY. NE,,FORT WALTON BEACH,FL,32548-2827,False
GAME RUSH,777  BEAL PKWY. NW,,FORT WALTON BEACH,FL,32548-3044,False
REM-VEND,14  JEFFERSON PL. NW,,FORT WALTON BEACH,FL,32548-4729,False
STARCADE,34  EGLIN PKWY. SE,,FORT WALTON BEACH,FL,32548-5453,True
PIRATE'S ISLAND AMUSEMENT PARK,1218  HWY. 98 E.,,FORT WALTON BEACH,FL,32548-6208,True
BAYSIDE AMUSEMENT,1310  HWY. 98 E.,,FORT WALTON BEACH,FL,32548-6210,False
MAGIC CARPET GOLF,1320  HWY. 98 E.,,FORT WALTON BEACH,FL,32548-6210,False
DUNCAN AMUSEMENT,"99  EGLIN PKWY., P O BOX 2559",,FORT WALTON BEACH,FL,32549-2559,False
DIAMOND JIM'S,300  MARY ESTHER CUTOFF,SANTA ROSA MALL,MARY ESTHER,FL,32569-1635,True
ALADDIN'S CASTLE,300  MARY ESTHER CUT-OFF,SANTA ROSA MALL,MARY ESTHER,FL,32569-1635,True
NICKELODEON,1335  HWY. 90 W.,,MILTON,FL,32570-,False
SPACE SPORTS,111  CAROLINE ST. SW,,MILTON,FL,32570-4718,False
HARRELL'S AMUSEMENT & VENDING,,STATE RD. 329-B,GAINESVILLE,FL,32601-9802,False
ELI WITT VENDING,"3500  4th  ST. NE, P O BOX ""W""",,GAINESVILLE,FL,32602-3022,False
GATORCADE,1728  UNIVERSITY AVE. W.,,GAINESVILLE,FL,32603-1839,False
ALADDIN'S CASTLE,6311  NEWBERRY RD. # E-5,OAKS MALL,GAINESVILLE,FL,32605-4339,True
WOMETCO VENDING,1611  55th PL. NW,,GAINESVILLE,FL,32606-2110,False
PANAMA JOE'S,3431  ARCHER RD. SW,,GAINESVILLE,FL,32608-,False
JOE'S VIDEO & AMUSEMENT GAMES,2831  70th LN. SW,,GAINESVILLE,FL,32608-,False
ALLEY KATZ CORNER,3705  42nd AVE. SW,,GAINESVILLE,FL,32608-,False
PUTT-PUTT GOLF & GAMES,3535  34th ST. SW,,GAINESVILLE,FL,32608-2505,False
ALL BRANDS VENDING,4607  6th ST. NW # 3-A,,GAINESVILLE,FL,32609-,False
BAR-STELL AMUSEMENT,3402  2nd ST. NE # B,,GAINESVILLE,FL,32609-2270,False
BLAND MUSIC,"1515  SILVER SPRINGS BL. E., P O BOX 157",,DUNNELLON,FL,32630-0157,False
FULLER AMUSEMENT,2250  52nd ST. SE,,OCALA,FL,32671-,False
FUN-N-GAMES,3100  COLLEGE RD. SW,PADDOCK MALL # 424,OCALA,FL,32674-4419,True
SUZ-SAN AMUSEMENTS,12  NOBLE AVE. E.,,WILLISTON,FL,32696-,False
FUNTIME U S A,116  ALTAMONTE DR. E.,INTERSTATE MALL,ALTAMONTE SPRINGS,FL,32701-4324,True
FUN-N-GAMES,451  ALTAMONTE DR. E.,ALTAMONTE MALL - UPPER,ALTAMONTE SPRINGS,FL,32701-4605,True
FUN-N-GAMES,451  ALTAMONTE DR. E.,ALTAMONTE MALL - LOWER,ALTAMONTE SPRINGS,FL,32701-4605,True
BIG M MUSIC,1604  SEMORAN BL. E.,,APOPKA,FL,32703-,False
FIVE STAR VENDING,190  LYMAN RD.,,CASSELBERRY,FL,32707-,False
FUN MACHINE,5723  HWY. 17-92 S.,SEMINOLE PLAZA SHOPPING CENTER,CASSELBERRY,FL,32707-,True
McGREW VENDING,70  WINTER PARK DR. S.,,CASSELBERRY,FL,32707-4409,False
A V S VIDEO VENDING,499  HWY. 434 N.,,ALTAMONTE SPRINGS,FL,32714-,False
SHOWBIZ PIZZA PLACE,541  HWY. 436 W.,,ALTAMONTE SPRINGS,FL,32714-,True
STARLING MUSIC,133  CHURCH ST. E.,,DE LAND,FL,32724-4323,False
LARIMER MUSIC,474  ALEXANDER AVE.,,DELTONA,FL,32725-8302,False
JUNGLE FALLS AMUSEMENT WORLD,5285  IRLO BRONSON MEMORIAL HWY. W.,,KISSIMMEE,FL,32741-,False
FUN FACTORY,5730  IRLO BRONSON MEMORIAL HWY. W.,,KISSIMMEE,FL,32741-,False
W G M AMUSEMENTS,"2700  MICHIGAN AVE. # A, P O BOX 3353",,KISSIMMEE,FL,32742-03353,False
ACTION KARTING,2120  IRLO BRONSON MEMORIAL HWY. W.,,KISSIMMEE,FL,32743-8903,False
LEESBURG FAMILY BILLIARDS,"200  2nd ST. N., P O BOX 836",,LEESBURG,FL,32749-,False
KUE-KING,8575  HWY. 17-92 S.,,MAITLAND,FL,32751-,False
STATE OF THE DART,113  CLEAR LAKE CIR.,,SANFORD,FL,32771-,False
BARREL OF FUN,2500  WASHINGTON AVE. S.,MIRACLE CITY MALL # 8,TITUSVILLE,FL,32780-5037,True
WILDWOOD MUSIC,,HWY. 301 N.,WILDWOOD,FL,32785,False
GOLD MINE,7294  HWY. 441 S.,LAKE SQUARE MALL,LEESBURG,FL,32788-8770,True
ALADDIN'S CASTLE,500  ORLANDO AVE. N.,WINTER PARK MALL # 1307,WINTER PARK,FL,32789-2935,True
CENTRAL FLORIDA MUSIC & VENDING,3692  HEDGEWOOD DR.,,WINTER PARK,FL,32792-3028,False
T & G MUSIC,709  DIXIE AVE. N.,,TITUSVILLE,FL,32796-,False
VIDEO 36,400  COLONIAL DR. E. # 1408,,ORLANDO,FL,32803-4520,False
FUN-N-GAMES,2518  COLONIAL DR. E.,COLONIAL PLAZA MALL # 98,ORLANDO,FL,32803-5030,True
MIL-VEND,2422  ROBINSON ST. E.,,ORLANDO,FL,32803-5888,False
CHARLES MUSIC,4461  EDGEWATER DR.,,ORLANDO,FL,32804-1295,False
JOHNNY'S MUSIC,3705  EDGEWATER DR.,,ORLANDO,FL,32804-2830,False
